"ID_TEMPO";"ID_TIPO";"ID_CREDOR";"ID_CONTRATO";"VR_JUROS";"VR_AMORTIZACAO"
42502;2;55;342;0;0
42952;2;52;310;0;0
42079;2;52;272;6949840;6092780,72
42065;1;58;309;16750850;0
42065;2;42;268;0;0
42064;2;55;298;0;0
42952;2;52;327;0;0
42553;1;45;330;0;0
42529;2;52;260;-1,64;-9,24
42064;2;52;283;0;0
42537;2;42;268;41884,7;0
41582;2;52;272;0;0
42483;1;57;338;106124726,79;0
42932;2;42;259;0;0
41615;2;42;341;0;0
41582;2;55;265;0;0
42914;1;45;324;262515,4;741956,51
42030;1;45;324;0;0
41597;1;45;311;0;0
42529;2;52;283;-148,09;-324,67
42531;2;52;283;0;0
42469;2;42;341;0;0
41622;2;42;282;34861,37;991575,97
42938;2;55;331;0;0
42935;2;55;298;0;0
42526;2;81;332;1092452,96;2425976,17
41982;2;55;292;0;0
41590;2;52;342;0;0
42560;2;52;327;0;0
42469;2;52;327;0;0
41625;2;55;279;-18;0
41582;2;55;298;0;0
42030;2;55;304;0;0
42066;2;55;292;0;0
42938;1;45;311;0;0
42093;2;52;272;0;0
42940;2;42;282;0;0
41586;2;55;265;0;0
42016;1;44;316;5379033,25;42241437,59
42001;2;55;304;0;60031937,2
42064;2;55;342;0;0
42003;2;55;342;0;0
42502;1;44;335;0;0
42938;2;52;283;0;0
42079;2;52;310;814343,82;1731379,21
42935;1;45;330;0;0
42517;2;52;260;13489,18;78979,23
42477;2;52;283;1265103,33;2773449,26
41590;1;57;338;0;0
42008;2;55;331;0;0
42962;2;55;279;3816612,33;55418932,81
41590;2;55;265;0;0
42030;2;55;292;0;0
41621;2;52;260;0;0
42456;2;52;283;1238498,09;2770094,33
42934;1;58;309;17892138,75;0
42932;2;42;341;0;0
42008;2;55;279;0;0
42092;2;55;298;146,26;3656,92
42935;1;44;308;0;0
42914;1;45;296;0;0
42547;2;52;327;795057,36;2826006,5
42529;2;52;310;-96,09;568,85
42938;1;57;338;0;0
41622;2;42;259;0;0
42938;2;42;268;54158,58;0
42502;2;42;282;0;0
42001;2;55;265;54108986,56;48741695,87
41590;1;44;312;0;0
42079;2;52;327;806024,09;2812365,99
42518;2;52;333;0;0
42516;1;44;335;15217844,31;32356485,87
42518;2;52;272;0;0
41582;2;55;328;0;0
42933;2;42;268;0;0
42504;2;42;282;74176,39;2408869,89
42963;2;55;279;0;0
41982;2;55;337;5173,43;0
42529;2;52;327;-93,84;-330,01
41609;2;52;272;0;0
42538;2;42;259;0;0
42530;2;42;259;0;0
42508;2;42;268;34236,9;0
42018;2;52;310;862318,29;1727248,18
